"R","n","onTop","density","density2","indicator"
0.16,5,1.0049604381437028e-9,0.0001652032392081058,2.7292110244850622e-8,0.07364475880594944
0.16,6,1.757641377320433e-11,0.000043985902614665126,1.9347596288268042e-9,0.01816909295741537
0.17,2,0.010346847797649649,0.08842994035856602,0.007819854351819543,2.646301921273538
0.17,3,0.000013259786838677972,0.005348514954389137,0.00002860661221732423,0.9270434917594201
0.17,4,8.314780883494058e-8,0.0007757741807508026,6.018255795195789e-7,0.2763186267400439
0.17,5,1.0048453918926242e-9,0.00016520728281443198,2.7293446294927712e-8,0.07363272347760402
0.17,6,1.757530266919233e-11,0.00004398703992617297,1.9348596814667346e-9,0.018167004912593186
0.18000000000000002,2,0.010310697130928434,0.08832268359372229,0.007800896437196781,2.6434646874080383
0.18000000000000002,3,0.000013250508235780787,0.005347883419866842,0.00002859985707248667,0.9266135982566082
0.18000000000000002,4,8.312654559918042e-8,0.000775778215144196,6.018318390923145e-7,0.27624509106913403
0.18000000000000002,5,1.004723387533245e-9,0.00016521157085481574,2.7294863144315803e-8,0.07361996154521701
0.18000000000000002,6,1.757412430229665e-11,0.000043988246107227045,1.9349657955899754e-9,0.0181647906566103
0.19,2,0.010272618041301694,0.08820940252093368,0.0077808986931001,2.6404708367199756
0.19,3,0.000013240706486780726,0.005347215614496418,0.000028592714827914306,0.9261594477103781
0.19,4,8.310407323391449e-8,0.0007757824697908272,6.018384404347556e-7,0.27616738197673724
0.19,5,1.004594427603333e-9,0.00016521610321759597,2.7296360762407325e-8,0.07360647350374011
0.19,6,1.757287868605625e-11,0.00004398952114751852,1.935077970787979e-9,0.018162450248865616
0.2,2,0.010232632852739527,0.08809011459784825,0.0077598682898620385,2.6373212715757193
0.2,3,0.000013230382762496922,0.005346511507980767,0.00002858518530497077,0.9256810911907049
0.2,4,8.308039272278735e-8,0.0007757869429791261,6.018453808968979e-7,0.2760855042169705
0.2,5,1.0044585147851115e-9,0.00016522087978474348,2.7297939116844656e-8,0.07359225987615259
0.2,6,1.75715658347821e-11,0.000043990865036149804,1.9351962066287472e-9,0.018159983752131313
0.21000000000000002,2,0.010190764945902254,0.08796483822945306,0.007737812764733846,2.6340169388300727
0.21000000000000002,3,0.000013219538295470806,0.005345771068447034,0.00002857726831624534,0.9251785824438571
0.21000000000000002,4,8.305550510213348e-8,0.0007757916329056415,6.018526576864016e-7,0.2759994627967896
0.21000000000000002,5,1.0043156519051686e-9,0.00016522590043186293,2.7299598173519885e-8,0.07357732121341892
0.21000000000000002,6,1.7570185763556905e-11,0.000043992277761634685,1.9353205026568177e-9,0.0181573912325493
0.22,2,0.010147038735362317,0.08783359276842476,0.007714740018609478,2.630558829172637
0.22,3,0.000013208174379720868,0.005344994262456347,0.00002856896366569127,0.9246519778792456
0.22,4,8.302941146090164e-8,0.00077579653767514,6.01860267868735e-7,0.27590926297533985
0.22,5,1.0041658419343579e-9,0.0001652311650281949,2.7301337896574573e-8,0.07356165809444436
0.22,6,1.756873848823482e-11,0.000043993759311898355,1.935450858393243e-9,0.018154672759627587
0.23,2,0.010101479645885448,0.08769639851544067,0.007690658312578985,2.6269479764465102
0.23,3,0.000013196292370485312,0.005344181055014004,0.00002856027114877059,0.9241013365556484
0.23,4,8.300211294057555e-8,0.0007758016553007108,6.018682083673229e-7,0.2758149102632747
0.23,5,1.0040090879876958e-9,0.0001652366734366185,2.7303158248399708e-8,0.07354527112602753
0.23,6,1.756722402544113e-11,0.00004399530967427743,1.935587273335569e-9,0.01815182840623641
